MMSI,Time,SOG,Longitude,Latitude,COG
3,20190304_233100,2.80,-43.126,-22.873,101
26,20190305_053100,14.80,-43.178,-22.858,333
5,20190305_060300,5.70,-43.17,-22.902,44.50
3,20190305_100900,8,-43.128,-22.827,38
5,20190305_172900,13.40,-42.922,-23.057,214
3,20190305_193600,4.70,-43.131,-22.864,21
3,20190305_200300,4.60,-43.137,-22.835,13
6,20190305_205800,8.90,-43.146,-22.843,160
6,20190306_030900,8.80,-42.533,-23.047,262
3,20190306_070600,4.60,-43.136,-22.835,13
26,20190306_190600,10.70,-43.123,-22.986,153
26,20190306_220400,6.40,-43.171,-22.89,100
3,20190307_000500,19.90,-43.14,-22.809,207
3,20190307_010200,3.70,-43.131,-22.864,250
6,20190307_040000,6,-43.125,-22.876,295.10
26,20190307_080000,10.80,-43.151,-22.899,255.90
3,20190307_143700,6.60,-43.119,-22.88,170
46,20190307_163300,6.50,-43.152,-22.882,181
6,20190307_163400,6.90,-43.126,-22.837,21
5,20190307_200000,6.50,-43.151,-22.805,20
5,20190307_213000,3.10,-43.121,-22.878,86.40
26,20190307_214100,6.40,-43.174,-22.89,100
3,20190307_214100,7.90,-43.037,-23.043,181
6,20190308_033600,7.50,-42.838,-23.049,276
6,20190308_103700,5.60,-43.146,-22.91,127.60
26,20190308_114000,12.70,-43.146,-22.897,79.40
46,20190308_193000,10.30,-43.134,-22.895,71
6,20190308_210000,9.50,-43.053,-23.017,104
6,20190308_210000,9.70,-43.14,-22.933,164
26,20190309_083500,2.50,-43.177,-22.891,72
3,20190309_160100,4.90,-43.136,-22.856,359
3,20190310_100600,8.40,-43.153,-22.874,121
3,20190310_144100,8.50,-43.126,-22.873,26
6,20190310_220600,8.80,-43.171,-22.903,275.70
3,20190310_222900,12.30,-43.161,-22.855,157
46,20190310_223100,8.40,-43.126,-22.873,290
0,20190311_093800,17.20,-43.158,-22.889,19.60
26,20190311_130100,1.40,-43.117,-22.864,214
26,20190311_130600,10.10,-43.133,-22.823,343.90
46,20190311_132900,12.60,-43.126,-22.894,84.80
5,20190311_133000,12.40,-43.109,-23.057,168
26,20190311_180000,4.90,-43.17,-22.902,263.30
6,20190311_180300,10.40,-43.145,-22.84,246
